Name of Society,Address,State,District,Date of Registration,Area of Operation_x,Sector Type,Area of Operation_y
The Surat People?s Cooperative Bank Ltd,"Vasudhara Bhavan, Timalyawad, Nanpura, Surat, Gujarat",GUJARAT,SURAT,2018-03-28,"Haryana, Delhi, UttarPradesh, ",Cooperative Bank,haryana
The Surat People?s Cooperative Bank Ltd,"Vasudhara Bhavan, Timalyawad, Nanpura, Surat, Gujarat",GUJARAT,SURAT,2018-03-28,"Haryana, Delhi, UttarPradesh, ",Cooperative Bank,delhi
The Surat People?s Cooperative Bank Ltd,"Vasudhara Bhavan, Timalyawad, Nanpura, Surat, Gujarat",GUJARAT,SURAT,2018-03-28,"Haryana, Delhi, UttarPradesh, ",Cooperative Bank,uttarpradesh
Sanmati Sahakari Bank Ltd,"9/114, Laxmi Market, Ichalkaranji Kolhapur, Maharashtra 416115",MAHARASHTRA,JALGAON,2018-03-27,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Cooperative Bank,uttrakhand
Sanmati Sahakari Bank Ltd,"9/114, Laxmi Market, Ichalkaranji Kolhapur, Maharashtra 416115",MAHARASHTRA,JALGAON,2018-03-27,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Cooperative Bank,himachal pradesh
Sanmati Sahakari Bank Ltd,"9/114, Laxmi Market, Ichalkaranji Kolhapur, Maharashtra 416115",MAHARASHTRA,JALGAON,2018-03-27,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Cooperative Bank,jammu & kashmir
Reserve Bank Staff & Officers cooperative Credit Society Ltd,"C/ Reserve Bank of India, Amar Building, 2nd Floor, Sir P Road, Fort, Mumbai,
400001, Maharashtra",MAHARASHTRA,MUMBAI,2018-02-13,"Maharashtra, Gujarat, Rajasthan",Credit,maharashtra
Reserve Bank Staff & Officers cooperative Credit Society Ltd,"C/ Reserve Bank of India, Amar Building, 2nd Floor, Sir P Road, Fort, Mumbai,
400001, Maharashtra",MAHARASHTRA,MUMBAI,2018-02-13,"Maharashtra, Gujarat, Rajasthan",Credit,gujarat
Reserve Bank Staff & Officers cooperative Credit Society Ltd,"C/ Reserve Bank of India, Amar Building, 2nd Floor, Sir P Road, Fort, Mumbai,
400001, Maharashtra",MAHARASHTRA,MUMBAI,2018-02-13,"Maharashtra, Gujarat, Rajasthan",Credit,rajasthan
Dev Lok Housing Cooperative Ltd,"A-55, Dwarka, Sector-19, New Delhi",NEW DELHI,NEW DELHI,2018-02-02,"Haryana, Punjab, Rajasthan",Housing,haryana
Dev Lok Housing Cooperative Ltd,"A-55, Dwarka, Sector-19, New Delhi",NEW DELHI,NEW DELHI,2018-02-02,"Haryana, Punjab, Rajasthan",Housing,punjab
Dev Lok Housing Cooperative Ltd,"A-55, Dwarka, Sector-19, New Delhi",NEW DELHI,NEW DELHI,2018-02-02,"Haryana, Punjab, Rajasthan",Housing,rajasthan
Maa Vaishno Agro Multi State Cooperative Society Ltd,"Shop No. 25, Block-A, Old LIC Building, Near BSNL Exchange, Super Market, Lalitpur,
284403, Uttar Pradesh",UTTAR PRADESH,LALITPUR,2018-01-19,"Haryana, Rajasthan",Agro,haryana
Maa Vaishno Agro Multi State Cooperative Society Ltd,"Shop No. 25, Block-A, Old LIC Building, Near BSNL Exchange, Super Market, Lalitpur,
284403, Uttar Pradesh",UTTAR PRADESH,LALITPUR,2018-01-19,"Haryana, Rajasthan",Agro,rajasthan
Sree Balki Multi State Cooperative Housing Society Ltd,"No. 9, Elango Street, Kabilar, Nagar,
Manavala Nagar, Tiruvallur 602002, Tamil Nadu",TAMIL NADU,THIRUVALLUR,2018-05-01,"Gujarat, Rajasthan, Haryana, Delhi",Housing,gujarat
Sree Balki Multi State Cooperative Housing Society Ltd,"No. 9, Elango Street, Kabilar, Nagar,
Manavala Nagar, Tiruvallur 602002, Tamil Nadu",TAMIL NADU,THIRUVALLUR,2018-05-01,"Gujarat, Rajasthan, Haryana, Delhi",Housing,rajasthan
Sree Balki Multi State Cooperative Housing Society Ltd,"No. 9, Elango Street, Kabilar, Nagar,
Manavala Nagar, Tiruvallur 602002, Tamil Nadu",TAMIL NADU,THIRUVALLUR,2018-05-01,"Gujarat, Rajasthan, Haryana, Delhi",Housing,haryana
Sree Balki Multi State Cooperative Housing Society Ltd,"No. 9, Elango Street, Kabilar, Nagar,
Manavala Nagar, Tiruvallur 602002, Tamil Nadu",TAMIL NADU,THIRUVALLUR,2018-05-01,"Gujarat, Rajasthan, Haryana, Delhi",Housing,delhi
"Southern Multi State Agro Cooperative Society Ltd,","27 Gokulam, Mount Pleasant Road, Conoor , Ooty, Tamil Nadu 643102",TAMIL NADU,COIMBATORE,2017-12-19,"Kerala, karnataka, Maharashtra, Gujarat",Agro,kerala
"Southern Multi State Agro Cooperative Society Ltd,","27 Gokulam, Mount Pleasant Road, Conoor , Ooty, Tamil Nadu 643102",TAMIL NADU,COIMBATORE,2017-12-19,"Kerala, karnataka, Maharashtra, Gujarat",Agro,karnataka
"Southern Multi State Agro Cooperative Society Ltd,","27 Gokulam, Mount Pleasant Road, Conoor , Ooty, Tamil Nadu 643102",TAMIL NADU,COIMBATORE,2017-12-19,"Kerala, karnataka, Maharashtra, Gujarat",Agro,maharashtra
"Southern Multi State Agro Cooperative Society Ltd,","27 Gokulam, Mount Pleasant Road, Conoor , Ooty, Tamil Nadu 643102",TAMIL NADU,COIMBATORE,2017-12-19,"Kerala, karnataka, Maharashtra, Gujarat",Agro,gujarat
Dombivli Nagari Sahakari Bank Ltd,"Plot No P-52, MIDC Phase-II, Kalyan Shil Road, Dombovli (East) Maharashtra 421204",MAHARASHTRA,THANE,2017-07-28,"Maharashtra, Karnataka, Tamil nadu",Cooperative Bank,maharashtra
Dombivli Nagari Sahakari Bank Ltd,"Plot No P-52, MIDC Phase-II, Kalyan Shil Road, Dombovli (East) Maharashtra 421204",MAHARASHTRA,THANE,2017-07-28,"Maharashtra, Karnataka, Tamil nadu",Cooperative Bank,karnataka
Dombivli Nagari Sahakari Bank Ltd,"Plot No P-52, MIDC Phase-II, Kalyan Shil Road, Dombovli (East) Maharashtra 421204",MAHARASHTRA,THANE,2017-07-28,"Maharashtra, Karnataka, Tamil nadu",Cooperative Bank,tamil nadu
Lucknow Division Insurance Employees Cooperative Credit Society Ltd,"Jeevan Prakash Building, 30, Hazratganj , Lucknow, Uttar Pradesh 226001",UTTAR PRADESH,LUCKNOW,2017-11-07,"Haryana, Gujarat, Maharashtra, Delhi",Credit,haryana
Lucknow Division Insurance Employees Cooperative Credit Society Ltd,"Jeevan Prakash Building, 30, Hazratganj , Lucknow, Uttar Pradesh 226001",UTTAR PRADESH,LUCKNOW,2017-11-07,"Haryana, Gujarat, Maharashtra, Delhi",Credit,gujarat
Lucknow Division Insurance Employees Cooperative Credit Society Ltd,"Jeevan Prakash Building, 30, Hazratganj , Lucknow, Uttar Pradesh 226001",UTTAR PRADESH,LUCKNOW,2017-11-07,"Haryana, Gujarat, Maharashtra, Delhi",Credit,maharashtra
Lucknow Division Insurance Employees Cooperative Credit Society Ltd,"Jeevan Prakash Building, 30, Hazratganj , Lucknow, Uttar Pradesh 226001",UTTAR PRADESH,LUCKNOW,2017-11-07,"Haryana, Gujarat, Maharashtra, Delhi",Credit,delhi
The Kalyan Janata Sahakari Bank Ltd,"Kalyanam astu, Om Vijaykrishna, Apt, Adharwadi, Kalyan, West, Thane
Maharashtra 421301",MAHARASHTRA,THANE,2017-03-24,"West bengal, Andhra Pradesh",Cooperative Bank,west bengal
The Kalyan Janata Sahakari Bank Ltd,"Kalyanam astu, Om Vijaykrishna, Apt, Adharwadi, Kalyan, West, Thane
Maharashtra 421301",MAHARASHTRA,THANE,2017-03-24,"West bengal, Andhra Pradesh",Cooperative Bank,andhra pradesh
"The Eastern Railway Employees
Cooperative Bank Limited (Eastern & North East Frontier Railway Employees Co-
operative Bank Ltd.)","17, Neta Ji Subhash Road, Kolkata 700001",WEST BENGAL,MALDAH,2017-03-22,"Maharashtra, Gujarat, Rajasthan",Cooperative Bank,maharashtra
"The Eastern Railway Employees
Cooperative Bank Limited (Eastern & North East Frontier Railway Employees Co-
operative Bank Ltd.)","17, Neta Ji Subhash Road, Kolkata 700001",WEST BENGAL,MALDAH,2017-03-22,"Maharashtra, Gujarat, Rajasthan",Cooperative Bank,gujarat
"The Eastern Railway Employees
Cooperative Bank Limited (Eastern & North East Frontier Railway Employees Co-
operative Bank Ltd.)","17, Neta Ji Subhash Road, Kolkata 700001",WEST BENGAL,MALDAH,2017-03-22,"Maharashtra, Gujarat, Rajasthan",Cooperative Bank,rajasthan
Purvanchal Krishi Avam Kisan kalyan Multi State Cooperative Society Ltd,"House No. 799, Vill: Taraya Sujan, Post : Tarya Sujan, Block : Seorahi, Tehsil :
Tamkihi Raj, Dist. Kushinagar, Pin 274409,
Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,2017-06-03,"Gujarat, Rajasthan, Haryana, Delhi",Agro,gujarat
Purvanchal Krishi Avam Kisan kalyan Multi State Cooperative Society Ltd,"House No. 799, Vill: Taraya Sujan, Post : Tarya Sujan, Block : Seorahi, Tehsil :
Tamkihi Raj, Dist. Kushinagar, Pin 274409,
Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,2017-06-03,"Gujarat, Rajasthan, Haryana, Delhi",Agro,rajasthan
Purvanchal Krishi Avam Kisan kalyan Multi State Cooperative Society Ltd,"House No. 799, Vill: Taraya Sujan, Post : Tarya Sujan, Block : Seorahi, Tehsil :
Tamkihi Raj, Dist. Kushinagar, Pin 274409,
Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,2017-06-03,"Gujarat, Rajasthan, Haryana, Delhi",Agro,haryana
Purvanchal Krishi Avam Kisan kalyan Multi State Cooperative Society Ltd,"House No. 799, Vill: Taraya Sujan, Post : Tarya Sujan, Block : Seorahi, Tehsil :
Tamkihi Raj, Dist. Kushinagar, Pin 274409,
Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,2017-06-03,"Gujarat, Rajasthan, Haryana, Delhi",Agro,delhi
The Ajara Urban Cooperative Bank Limited,"393-B, Main Road Ajara, Kolhapur, 416505, Maharashtra",MAHARASHTRA,KOLHAPUR,2017-02-17,"Kerala, karnataka, Maharashtra, Gujarat",Cooperative Bank,kerala
The Ajara Urban Cooperative Bank Limited,"393-B, Main Road Ajara, Kolhapur, 416505, Maharashtra",MAHARASHTRA,KOLHAPUR,2017-02-17,"Kerala, karnataka, Maharashtra, Gujarat",Cooperative Bank,karnataka
The Ajara Urban Cooperative Bank Limited,"393-B, Main Road Ajara, Kolhapur, 416505, Maharashtra",MAHARASHTRA,KOLHAPUR,2017-02-17,"Kerala, karnataka, Maharashtra, Gujarat",Cooperative Bank,maharashtra
The Ajara Urban Cooperative Bank Limited,"393-B, Main Road Ajara, Kolhapur, 416505, Maharashtra",MAHARASHTRA,KOLHAPUR,2017-02-17,"Kerala, karnataka, Maharashtra, Gujarat",Cooperative Bank,gujarat
Bihar State Housing Cooperative Federation Ltd,"Lalit Bhawan, Bailey Road, Patna , Bihar 800014",BIHAR,BUXAR,2016-10-19,"Maharashtra, Karnataka, Tamil nadu",Housing,maharashtra
Bihar State Housing Cooperative Federation Ltd,"Lalit Bhawan, Bailey Road, Patna , Bihar 800014",BIHAR,BUXAR,2016-10-19,"Maharashtra, Karnataka, Tamil nadu",Housing,karnataka
Bihar State Housing Cooperative Federation Ltd,"Lalit Bhawan, Bailey Road, Patna , Bihar 800014",BIHAR,BUXAR,2016-10-19,"Maharashtra, Karnataka, Tamil nadu",Housing,tamil nadu
The Navodit Cooperative Urban Thrift & Credit Society Ltd,"147, South Amarkali, Delhi 110051",NEW DELHI,NEW DELHI,2016-09-27,"Haryana, Gujarat, Maharashtra, Delhi",Credit,haryana
The Navodit Cooperative Urban Thrift & Credit Society Ltd,"147, South Amarkali, Delhi 110051",NEW DELHI,NEW DELHI,2016-09-27,"Haryana, Gujarat, Maharashtra, Delhi",Credit,gujarat
The Navodit Cooperative Urban Thrift & Credit Society Ltd,"147, South Amarkali, Delhi 110051",NEW DELHI,NEW DELHI,2016-09-27,"Haryana, Gujarat, Maharashtra, Delhi",Credit,maharashtra
The Navodit Cooperative Urban Thrift & Credit Society Ltd,"147, South Amarkali, Delhi 110051",NEW DELHI,NEW DELHI,2016-09-27,"Haryana, Gujarat, Maharashtra, Delhi",Credit,delhi
Lokseva Multi State Credit Cooperative Society Ltd,"A/p Tisgaon Pravara, Rahata, Ahmednagar 413712 Maharashtra",MAHARASHTRA,NAGPUR,2016-09-26,"West bengal, Andhra Pradesh",Credit,west bengal
Lokseva Multi State Credit Cooperative Society Ltd,"A/p Tisgaon Pravara, Rahata, Ahmednagar 413712 Maharashtra",MAHARASHTRA,NAGPUR,2016-09-26,"West bengal, Andhra Pradesh",Credit,andhra pradesh
